Spingarn Medal 	स्पिनगार्न मेडल 
Orckit Communications 	ऑर्किट कम्यूनिकेशन्स 
Iran Ki Ek Raat 	ईरान की एक रात 
Robert Atkins 	रॉबर्ट एटकिन्स 
National Museum of Denmark 	नेशनल म्युज़ियम ऑफ डेनमार्क 
Ajir asom 	अजीर असोम 
Kaurav Pandav 	कौरव पांडव 
National Public School 	नेशनल पब्लिक स्कूल 
Bundi fort 	बूँदी फोर्ट 
Chhote Babu 	छोटे बाबू 
Anou Achra Lemoun 	अनाउ एचरा लेमोन 
Shenzhen Special Zone Daily Tower 	शेन्ज़ेन स्पेशल ज़ोन डेली टॉवर 
Fifty Fifty 	फिफ्टी फिफ्टी 
Koningen Regentes 	कॉनिंगन रीजेंटेस 
Bert Vance 	बर्ट वैंस 
Howrah Express 	हावड़ा एक्सप्रेस 
Liam Plunkett 	लैम प्लंकेट 
Fortaleza do monte 	फोर्टालेज़ा डो मॉन्टे 
Grace Lutheran 	ग्रेस लुथरेन 
Bombay War 	बॉम्बे वार 
University of Tokyo 	यूनिवर्सिटी ऑफ टोक्यो 
Bushnell's Museum 	बुशनेल्स म्युज़ियम 
The Living Well United Methodist 	द लिविंग वेल यूनाइटेड मेथोडिस्ट 
Do Chor 	दो चोर 
Anmol Ghadi 	अनमोल घड़ी 
Babagon Dam 	बाबागोन डैम 
Greg Blewett 	ग्रेग ब्लेवेट 
Gauri Phanta 	गौरी फांटा 
Tsavo East 	त्सावो ईस्ट 
Black Mailer 	ब्लैक मेलर 
Rei Agro 	री एग्रो 
Usman Afzaal 	उस्मान अफज़ाल 
Aztec Software 	एज़्टेक सॉफ़टवेयर 
Ek Main Aur Ek Tu 	एक मैं और एक तू 
University of South Queensland 	यूनिवर्सिटी ऑफ साउथ क्वीन्सलैंड 
Sri Shakti 	श्री शक्ती 
Fort wood 	फोर्ट वुड 
Gurudwara Gowindwal Sahib 	गुरूद्वारा गोविंदवाल साहिब 
Abdus saami 	अब्दुस सामी 
Jonathan Winters 	जोनॅथन विंटर्स 
Johan Botha 	जोहन बोथा 
Kaun Jeeta Kaun Haara 	कौन जीता कौन हारा 
Abdul muhayameen 	अब्दुल मुहायमीन 
Hum Panch 	हम पाँच 
Sabiha Gokcen 	साबिहा गॉकेन 
Richard Pryor 	रिचर्ड प्रेयोर 
Dodda Ganesh 	डोडा गणेश 
Motor Cycle Racing 	मोटर सायकल रेसिंग 
Shane Thomson 	शेन थॉमसन 
Dev gaayak 	देव गायक 
Vinod Kambli 	विनोद कांबली 
Sonia Gandhi 	सोनिया गांधी 
Fats Domino 	फ़ेट्स डोमिनो 
Fort mcandrew 	फोर्ट मैकएण्ड्रयू 
Anglo-Dutch War 	एंग्लो-डच वार 
Sina Corporation 	सिना कॉर्पोरेशन 
Man Group 	मैन ग्रुप 
Nagasaki University 	नागासाकी यूनिवर्सिटी 
Serra dos orgaos 	सेरा डॉस ऑरगाओस 
Man Ki Ankhen 	मन की आँखें 
Gurudwara Nadala Sahib 	गुरूद्वारा नडाला साहिब 
Ram Bharose 	राम भरोसे 
Nathdwara Temple 	नाथद्वारा टेम्पल 
Dooj Ka Chand 	दूज का चाँद 
Abdul Paula 	अब्दुल पाउला 
Gurudwara Mata Kaulan ji 	गुरूद्वारा माता कौलां जी 
Mahashweta Devi 	महाश्वेता देवी 
Ladies Only 	लेडीज़ ओनली 
Jungle King 	जंगल किंग 
Pyari Behna 	प्यारी बहना 
Neecha Nagar 	नीचा नगर 
Amar Deep 	अमर दीप 
Arnala fort 	अरनाला फोर्ट 
Rocky Mount 	रॉकी माउंट 
Sweekar Kiya Maine 	स्वीकार किया मैंने 
Daman and Deev 	दमन एण्ड दीव 
Akash Pari 	आकाश परी 
Fateh Singhpura 	फतेह सिंहपुरा 
Biwi Ho To Aisi 	बीवी हो तो ऐसी 
Spitbank fort 	स्पिटबैंक फोर्ट 
Fortaleza da guia 	फोर्टालेज़ा दा गुइआ 
Dennis Amiss 	डेनिस एमिस 
Chattan Singh 	चट्‍टान सिंह 
Origins Award 	ऑरिजिन्स अवार्ड 
Bank of China 	बैंक ऑफ चायना 
Ashok Mankad 	अशोक मांकड़ 
Howard Hughes 	हॉवर्ड ह्युजे 
Raja Radhika Prasad 	राजा राधिका प्रसाद 
Top Image Systems 	टॉप इमेज सिस्टम्स 
Bel AIr United Methodist 	बेल अल्र यूनाइटेड मेथोडिस्ट 
Wheelchair Basketball 	व्हीलचेयर बास्केटबॉल 
Nawab Sahib 	नवाब साहिब 
Anglo-Maratha War 	एंग्लो-मराठा वार 
Egg buckland keep 	एग बकलैंड कीप 
Belthara Road 	बेलठारा रोड 
Old roman 	ओल्ड रोमन 
Citadelle fort 	सिटाडेल फोर्ट 
Ruchira Perera 	रुचीरा परेरा 
Main Azad Hoon 	मैं आज़ाद हूँ 
Jacobite Rising in Scotland 	जैकॉबाइट राइसिंग इन स्कॉटलैंड 
Allen Ginsberg 	एलन जिंसबर्ग 
Roop Kahani 	रूप कहानी 
Modern Girl 	मॉडर्न गर्ल 
Main Aur Mera Bhai 	मैं और मेरा भाई 
Amar ujala 	अमर उजाला 
Fort brockhurst 	फोर्ट ब्रॉकहर्स्ट 
Ek Gunah Aur Sahi 	एक गुनाह और सही 
Aamne Samne 	आमने सामने 
Lei yue mun fort 	ली यू मुन फोर्ट 
Bikhare Moti 	बिखरे मोती 
Queen Anne's War 	क्वीन एनीज वार 
Dahanu Road 	दहानु रोड 
Tung chung fort 	तुंग चुंग फोर्ट 
Main Bhi Ladki Hoon 	मैं भी लड़की हूँ 
Mark Taylor 	मार्क टेलर 
Jiyo Raja 	जियो राजा 
Profiles in Courage Award 	प्रोफाइल्स इन करेज अवार्ड 
Count Dracula 	काउंट ड्राक्युला 
Pritzker Prize 	प्रिज़कर प्राइज़ 
Pulitzer Prize 	पुलिटज़र प्राइज़ 
Nai Maa 	नई माँ 
Throgs Neck 	थ्रॉग्ज नेक 
Ek Phool Do Mali 	एक फूल दो माली 
Insaan Aur Shaitan 	इंसान और शैतान 
Balauda Takun 	बलौदा ताकुन 
Ram Avtar 	राम अवतार 
Sasta Khoon Mehanga Pyar 	सस्ता खून महँगा पानी 
Fort trumbull 	फोर्ट ट्रम्बुल 
Balimela Reservoir 	बालिमेला रिज़रवायर 
Chor Ke Ghar Chorni 	चोर के घर चोरनी 
Wahidul Gani 	वहीदुल गानी 
Mera Yaar Mera Dushman 	मेरा यार मेरा दुश्मन 
Kostas Frontzos Museum of Epirus' Folk Art 	कोस्टस फ्रंटज़ॉस म्युज़ियम ऑफ एप‍िरस फोक आर्ट 
Gul Sanobar 	गुल सनोबर 
Kalidas samman 	कालीदास सम्मान 
Steinfeld Cup 	स्टेनफील्ड कप 
Badhti Ka Naam Dadhi 	बढ़ती का नाम दाढ़ी 
Mazda Motor 	माज़दा मोटर 
Harry Potter 	हैरी पॉटर 
Millennium Technology Prize 	मिलेनियम टेक्नोलॉजी प्राइज़ 
Aandhi Toofan 	आँधी तूफान 
Sun Microsystems 	सन माइक्रोसिस्टम 
Madhya Pradesh 	मध्य प्रदेश 
Sajid Mahmood 	साजिद महमूद 
Compass Group 	कंपास ग्रुप 
Husn Ka Chor 	हुस्न का चोर 
Ruwan Kalpage 	रुवान कल्पेज 
Harold Morton Landon Translation Award 	हैरल्ड मोर्टन लंडन ट्रांसलेशन अवार्ड 
Jai Jagannath 	जय जगन्नाथ 
Andrews University 	एण्ड्रयूस यूनिवर्सिटी 
Spanish waltz 	स्पैनिश वाल्ट्ज 
Aar Paar 	आर पार 
Museum of Cretan Ethnology 	म्युज़ियम ऑफ क्रिटेन एथनोलॉजी 
Square dance 	स्क्वाएर डांस 
Paul Hitchcock 	पॉल हिचकॉक 
Commerzbank Zentrale 	कॉमर्ज़बैंक ज़ेनट्रले 
Sadiq Mohammad 	सादिक मोहम्मद 
Abdur rahim 	अब्दुर रहीम 
Argentina Museum of Natural Sciences 	अर्जेंट‍ीना म्युज़ियम ऑफ नैचरल साइंसेस 
Saptahik hindustan 	साप्ताह‍िक ह‍िन्दुस्तान 
Craig Wishart 	क्रेग विशार्ट 
Abhi Abhi 	अभी अभी 
Kaun Ho Tum 	कौन हो तुम 
Gariep Dam 	गेरीप डैम 
Praj Industries 	प्राज इंडस्ट्रीज़ 
Order of Zhoukov 	ऑडर ऑफ़ ज़ूकोव 
Piya Ghar Aja 	पिया का घर 
Prince Edward 	प्रिन्स एडवर्ड 
General Motors 	जनरल मोटर्स 
Aaj Ki Dhara 	आज की धारा 
Paul Simon 	पॉल सिमॉन 
Kochi Refin 	कोची रेफ़िन 
Abdul hannan 	अब्दुल हन्नान 
Fort gaines 	फोर्ट गेन्स 
Nyika Plateau 	न्याइका प्लेट्‍यू 
Meri Biwi Ki Shaadi 	मेरी बीवी की शादी 
Ahmed ar-Rifai 	अहमद अर-रिफाई 
American Numismatic Society Museum 	अमेर‍िकन न्यूम‍िस्मेट‍िक सोसायटी म्युज़ियम 
Ji Chahta Hai 	जी चाहता है 
Ramanujan Prize 	रामानुजन प्राइज़ 
Heriot-Watt University 	हैरियट-वॉट यूनिवर्सिटी 
Memorial Cup 	मेमोरियल कप 
Regina Maria Pia 	रेजिना मारिया पिया 
Thomas Hobbs 	टॉमस हॉब्स 
Harvinder Singh 	हरविंदर सिंह 
Hell Gate RailRoad 	हेल गेट रेलरोड 
Agra Fort 	आगरा फोर्ट 
Geological Museum of china 	ज‍िओलॉजकिल म्युज़ियम ऑफ चाइना 
Johny Walker 	जॉनी वॉकर 
Ambika Kalna 	अम्बिका कालना 
Woodstock Historical Society 	वुडस्टॉक ह‍िस्टॉर‍िकल सोसायटी 
Ameeri Gareebi 	अमीरी गरीबी 
Chhupa Rustam 	छुपा रुस्तम 
KongZhong Corporation 	काँगझाँग कॉर्पोरेशन 
Banke Lal 	बाँके लाल 
Anwar Hossain 	अनवर हुसैन 
Abundant Life Christian Fellowship 	अब्यूडंट लाइफ क्रिश्चियन फ़ेलोशिप 
Kachchi Kali 	कच्ची कली 
Aretha Franklin 	एरीथा फ़्रेंकलिन 
Cueva de la Bruja 	क्युवा डी ला ब्रूजा 
Tere Meree Beech Mein 	तेरे मेरे बीच में 
Samandaron Ki Malika 	समंदरों की मलिका 
Bayazid Bastami 	बयाज़िद बस्तामी 
Kaun Saccha Kaun Jhootha 	कौन सच्चा कौन झूठा 
Gary Robertson 	गेरी रॉबर्ट्‍सन 
Aurat Aur Parinda 	औरत और परिंदा 
Bali Barat 	बाली बारत 
Ladki Jawan Ho Gai 	लड़की जवान हो गई 
Yangtze ki yang 	‍यांगत्ज़े की यांग 
Brian Close 	ब्रेन क्लोस 
Anglo-Cherokee War 	एंग्लो-चेरोकी वार 
Gul Sanovar 	गुल सनोवर 
